zip,seaport,landprice,oilreserve,existingplants,disasters,railroad,populationdensity,actual
4090,3,-1,1,1,1,2,3,N
4216,1,-1,1,1,3,2,3,N
4330,3,-1,1,1,3,2,3,N
4614,3,-1,1,1,3,2,3,N
4942,1,-1,1,1,3,2,3,N
4988,3,-1,1,1,3,2,3,N
5034,3,-1,2,1,1,2,3,N
5150,1,-1,2,1,1,2,3,N
5154,1,-1,2,1,1,2,3,N
5253,3,-1,2,1,1,2,3,N
5260,3,-1,2,1,1,2,3,N
5341,3,-1,2,1,1,2,3,N
5440,3,-1,2,1,1,2,3,N
5447,3,-1,2,1,1,2,3,N
5457,3,-1,2,1,1,2,3,N
5666,3,-1,2,1,1,2,3,N
5674,3,-1,2,1,1,2,3,N
5734,3,-1,2,1,1,2,3,N
5736,3,-1,2,1,1,2,3,N
5829,1,-1,1,1,3,2,3,N
5901,1,-1,1,1,3,2,3,N
5904,1,-1,1,1,3,2,3,N
10965,3,1,3,2,1,2,1,N
11214,3,1,2,2,1,2,1,N
11954,3,-1,2,1,1,2,3,N
12139,3,-1,2,1,1,2,3,N
12946,3,-1,2,1,1,2,3,N
12980,3,-1,2,1,1,2,3,N
13324,3,-1,2,1,1,2,3,N
13408,3,-1,2,1,1,2,3,N
13684,3,-1,2,1,1,2,3,N
13755,3,-1,3,1,1,2,3,N
13849,1,-1,3,1,1,2,3,N
20180,3,2,3,1,3,2,2,N
22003,3,2,2,1,3,2,2,N
22625,1,-1,3,1,3,2,3,N
23139,3,-1,2,1,3,2,3,N
23395,3,-1,2,1,3,2,3,N
23417,3,-1,2,1,3,2,3,N
23960,1,-1,2,1,3,2,3,N
24066,1,-1,2,1,3,2,3,N
24228,1,-1,2,1,3,2,3,N
24270,1,-1,2,1,1,2,3,N
24292,1,-1,2,1,1,2,3,N
24413,1,-1,2,1,3,2,3,N
24574,1,-1,2,1,3,2,3,N
24634,1,-1,2,1,3,2,3,N
27513,1,-1,1,1,1,2,3,N
27604,1,-1,1,1,1,2,3,N
27701,1,-1,2,1,1,2,3,N
28205,1,2,1,1,1,2,3,N
28213,1,2,1,1,1,2,3,N
28677,1,2,1,1,1,2,3,N
28681,1,2,2,1,1,2,3,N
28705,1,-1,2,1,1,2,3,N
28718,1,-1,1,1,1,2,3,N
28719,3,-1,1,1,1,2,3,N
28772,1,-1,1,1,1,2,3,N
28906,3,-1,1,1,1,2,3,N
68825,1,-1,1,1,3,2,3,N
69147,1,-1,2,1,3,2,3,N
69161,1,-1,1,1,1,2,3,N
69162,1,-1,2,1,3,2,3,N
69212,1,-1,1,1,1,2,3,N
69333,1,-1,1,1,3,2,3,N
69345,1,-1,2,1,3,2,3,N
72430,3,-1,2,1,3,2,3,N
72464,3,-1,2,1,3,2,3,N
72520,3,-1,2,1,3,2,3,N
72537,1,-1,2,1,3,2,3,N
72573,3,-1,2,1,3,2,3,N
72626,1,-1,2,1,3,2,3,N
72661,1,-1,2,1,3,2,3,N
72739,1,-1,2,1,3,2,3,N
72747,1,-1,2,1,3,2,3,N
83213,1,-1,1,1,3,2,3,N
83246,1,-1,2,1,1,2,3,N
83336,1,-1,2,1,1,2,3,N
83404,1,-1,1,1,3,2,3,N
83424,1,-1,2,1,3,2,3,N
83429,1,-1,2,1,3,2,3,N
83469,1,-1,2,1,3,2,3,N
83549,1,-1,1,1,3,2,3,N
83650,1,-1,1,1,3,2,3,N
83805,1,-1,2,1,3,2,3,N
83824,3,-1,1,1,3,2,3,N
83853,1,-1,2,1,3,2,3,N
84002,1,-1,2,2,1,2,3,N
84018,1,2,2,3,1,2,2,N
84037,1,2,2,3,1,2,2,N
84042,1,2,2,3,1,2,2,N
84063,1,-1,2,1,1,2,3,N
84083,1,-1,2,1,1,2,3,N
84094,1,2,2,3,1,2,2,N
84329,1,-1,2,1,1,2,3,N
84341,1,2,2,1,1,2,3,N
84510,1,-1,2,1,1,2,3,N
84738,1,-1,2,1,1,2,3,N
84751,1,-1,2,1,1,2,3,N
84755,1,-1,2,1,1,2,3,N
