zip,seaport,landprice,oilreserve,existingplants,disasters,railroad,populationdensity,actual,elevation
767,3,-1,3,2,-1,-1,2,Y,3
820,3,-1,3,2,-1,-1,2,Y,3
7036,3,1,3,2,2,2,1,Y,3
8066,3,1,3,1,-1,2,2,Y,3
8861,3,1,3,2,2,2,1,Y,3
16344,3,-1,3,2,3,2,3,Y,3
16365,2,-1,3,1,2,2,3,Y,3
16701,2,-1,3,2,2,2,3,Y,3
19061,3,1,3,1,-1,2,2,Y,3
19145,3,1,3,1,-1,2,2,Y,3
19706,3,1,3,1,-1,2,2,Y,3
26050,3,3,3,2,3,2,3,Y,3
35401,3,2,2,2,-1,2,3,Y,3
36571,3,-1,2,2,-1,2,3,Y,3
38109,3,3,2,2,-1,2,3,Y,3
39183,3,-1,2,2,2,2,3,Y,3
39455,3,-1,2,2,2,2,3,Y,3
39477,2,-1,2,2,-1,2,3,Y,3
39581,3,-1,2,2,-1,2,3,Y,3
41129,3,-1,2,2,3,2,3,Y,3
42501,3,-1,2,2,-1,2,3,Y,3
43616,3,3,2,1,3,2,3,Y,3
44706,3,2,3,2,3,2,3,Y,3
45804,1,-1,2,2,3,2,3,Y,3
46394,3,1,2,1,-1,3,1,Y,3
47620,3,-1,2,2,-1,2,3,Y,3
48217,3,3,2,1,3,2,2,Y,3
48802,3,-1,2,2,-1,2,3,Y,-1
50401,1,-1,3,2,-1,2,3,Y,3
54880,3,-1,3,2,-1,2,3,Y,3
55068,3,-1,3,2,-1,2,2,Y,3
55071,3,-1,3,2,-1,2,2,Y,3
58554,1,-1,2,2,-1,2,3,Y,3
58601,1,-1,2,2,-1,2,3,Y,3
59044,1,-1,2,1,-1,2,3,Y,3
59101,1,-1,2,1,-1,2,3,Y,3
59404,1,-1,2,2,-1,2,3,Y,3
60406,3,1,3,1,-1,3,1,Y,3
60410,3,1,3,1,-1,3,2,Y,3
60439,3,1,3,1,-1,3,2,Y,3
62048,3,-1,3,2,-1,2,3,Y,3
62084,3,-1,3,2,-1,2,3,Y,3
62454,1,-1,3,2,-1,2,3,Y,3
67042,1,-1,2,2,-1,2,3,Y,3
67337,3,-1,2,2,-1,2,3,Y,3
67460,1,-1,2,2,-1,2,3,Y,3
70037,3,3,2,1,2,2,2,Y,3
70044,3,3,2,1,2,2,2,Y,3
70051,3,3,2,1,2,2,3,Y,3
70075,3,3,2,1,2,2,2,Y,3
70079,3,3,2,1,2,2,3,Y,3
70087,3,3,2,1,2,2,3,Y,3
70602,3,-1,3,1,2,3,3,Y,3
70605,3,-1,3,1,2,3,3,Y,3
70615,3,-1,3,1,2,3,3,Y,3
70669,3,-1,3,1,2,3,3,Y,3
70723,3,3,2,1,2,2,3,Y,3
70750,3,-1,2,1,2,2,3,Y,3
70767,3,-1,2,1,2,2,3,Y,3
70805,3,-1,2,1,2,2,3,Y,3
71018,3,-1,3,1,2,2,3,Y,3
71109,3,-1,3,2,2,3,3,Y,3
71730,3,-1,2,1,2,2,3,Y,3
71762,3,-1,2,1,2,2,3,Y,3
71764,3,-1,2,1,2,2,3,Y,3
73098,1,3,2,2,-1,2,3,Y,3
73401,1,-1,3,2,1,3,3,Y,3
74107,3,-1,2,2,-1,2,3,Y,3
74602,1,-1,2,2,-1,2,3,Y,3
75702,1,-1,3,2,1,3,3,Y,3
76040,1,2,3,2,1,3,2,Y,3
76475,1,3,3,2,1,3,3,Y,3
76932,1,-1,3,2,1,3,3,Y,3
77012,3,2,3,1,1,3,2,Y,3
77015,3,2,3,1,1,3,2,Y,3
77017,3,2,3,1,1,3,2,Y,3
77463,3,2,3,1,1,3,2,Y,-1
77506,3,2,3,1,1,3,2,Y,3
77520,3,2,3,1,1,3,2,Y,3
77536,3,2,3,1,1,3,2,Y,3
77547,3,2,3,1,1,3,2,Y,3
77590,3,2,3,1,1,3,2,Y,3
77640,3,-1,3,1,2,3,3,Y,3
77641,3,-1,3,1,2,3,3,Y,3
77642,3,-1,3,1,2,3,3,Y,3
77659,3,2,3,1,2,3,3,Y,3
77701,3,-1,3,1,2,3,3,Y,3
78071,1,-1,3,2,1,3,3,Y,3
78112,1,3,3,2,1,3,3,Y,3
78223,1,3,3,2,1,3,3,Y,3
78401,3,-1,3,1,1,3,3,Y,3
78407,3,-1,3,1,1,3,3,Y,3
78409,3,-1,3,1,1,3,3,Y,3
79008,1,-1,3,1,1,3,3,Y,3
79011,1,-1,3,2,1,3,3,Y,3
79059,1,-1,3,1,1,3,3,Y,3
79086,1,-1,3,2,1,3,3,Y,2
79562,1,-1,3,2,1,3,3,Y,3
79601,1,-1,3,2,1,3,3,Y,3
79721,1,-1,3,2,1,3,3,Y,3
79905,1,-1,3,2,1,3,2,Y,2
80022,1,1,2,2,-1,2,2,Y,2
82007,1,-1,2,2,-1,2,3,Y,2
82334,1,-1,2,2,-1,2,3,Y,2
82636,1,-1,2,2,-1,2,3,Y,2
82701,1,-1,2,2,3,2,3,Y,2
82930,1,-1,2,2,3,2,3,Y,2
84054,1,2,2,1,3,2,2,Y,2
84087,1,2,2,1,3,2,2,Y,2
