time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-04-03T16:52:34.813Z,69.1068,-144.5862,5,3.1,ml,,,,0.66,ak,ak18935357,2018-04-03T20:21:34.310Z,"115km NNE of Arctic Village, Alaska",earthquake,,0,,,reviewed,ak,ak
2018-04-03T16:08:03.394Z,56.5224,-156.4976,63.8,2.5,ml,,,,1.17,ak,ak18933734,2018-04-03T16:13:13.837Z,"94km NW of Chirikof Island, Alaska",earthquake,,4.9,,,automatic,ak,ak
2018-04-03T15:30:25.394Z,55.9984,-149.8787,10,2.6,ml,,,,0.78,ak,ak18932143,2018-04-03T18:58:51.699Z,"252km SE of Kodiak, Alaska",earthquake,,0,,,reviewed,ak,ak
2018-04-03T14:04:24.528Z,60.061,-161.8474,8.3,3.5,ml,,,,0.58,ak,ak18930549,2018-04-03T14:19:25.981Z,"75km ENE of Kwigillingok, Alaska",earthquake,,0.2,,,automatic,ak,ak
2018-04-03T09:39:20.508Z,56.0597,-150.005,35,3.1,ml,,,,0.72,ak,ak18927335,2018-04-03T09:47:16.556Z,"241km SE of Kodiak, Alaska",earthquake,,3.5,,,automatic,ak,ak
2018-04-03T03:46:22.687Z,55.947,-149.953,10,4,ml,,,,0.83,ak,ak18919420,2018-04-03T04:06:24.634Z,"253km SE of Kodiak, Alaska",earthquake,,0,,,reviewed,ak,ak
2018-04-03T01:44:36.358Z,69.184,-144.2596,0.1,2.5,ml,,,,0.77,ak,ak18917716,2018-04-03T02:02:23.046Z,"108km SSW of Kaktovik, Alaska",earthquake,,15.8,,,automatic,ak,ak
2018-04-02T23:39:54.410Z,55.8242,-150.108,5.42,4.1,mb,,182,2.251,0.67,us,us1000dcsb,2018-04-02T23:58:20.040Z,"260km SSE of Kodiak, Alaska",earthquake,5.4,7.2,0.368,2,reviewed,us,us
2018-04-02T22:40:43.680Z,55.9456,-150.1281,10,3.4,ml,,188,2.166,0.71,us,us1000dcs2,2018-04-02T23:37:59.040Z,"247km SE of Kodiak, Alaska",earthquake,8.8,2,0.055,44,reviewed,us,us
2018-04-02T21:55:39.283Z,60.0353,-152.8436,105.2,2.9,ml,,,,0.56,ak,ak18911488,2018-04-02T22:10:35.645Z,"50km S of Redoubt Volcano, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-04-02T19:01:35.890Z,55.8488,-149.9195,5.84,3.6,mb,,205,2.318,0.69,us,us1000dcjx,2018-04-02T23:50:32.040Z,"264km SE of Kodiak, Alaska",earthquake,9.5,8.1,0.353,2,reviewed,us,us
2018-04-02T16:55:02.558Z,56.2886,-149.2902,11.7,2.5,ml,,,,0.8,ak,ak18905355,2018-04-02T19:32:59.346Z,"252km SE of Kodiak, Alaska",earthquake,,5.8,,,reviewed,ak,ak
2018-04-02T15:38:14.652Z,55.5937,-150.7579,5,2.6,ml,,,,0.87,ak,ak18903868,2018-04-02T18:44:08.558Z,"264km SSE of Kodiak, Alaska",earthquake,,0,,,reviewed,ak,ak
