Zipcode,State
4942,Maine
4988,Maine
4330,Maine
4614,Maine
4216,Maine
4090,Maine
12980,New York
12946,New York
13684,New York
13324,New York
12139,New York
13408,New York
13849,New York
13755,New York
10965,New York
11214,New York
11954,New York
69333,Nebraska
69147,Nebraska
69345,Nebraska
69162,Nebraska
69212,Nebraska
69161,Nebraska
68825,Nebraska
28719,North Carolina
28772,North Carolina
28705,North Carolina
28718,North Carolina
28906,North Carolina
28681,North Carolina
28677,North Carolina
27604,North Carolina
27701,North Carolina
27513,North Carolina
28205,North Carolina
28213,North Carolina
23139,Virginia
23960,Virginia
24574,Virginia
24066,Virginia
24228,Virginia
24270,Virginia
24634,Virginia
24292,Virginia
24413,Virginia
22625,Virginia
20180,Virginia
22003,Virginia
23417,Virginia
23395,Virginia
83805,Idaho
83853,Idaho
83824,Idaho
83549,Idaho
83650,Idaho
83469,Idaho
83213,Idaho
83336,Idaho
83246,Idaho
83429,Idaho
83424,Idaho
83404,Idaho
84329,Utah
84341,Utah
84037,Utah
84018,Utah
84002,Utah
84063,Utah
84510,Utah
84755,Utah
84738,Utah
84751,Utah
84083,Utah
84042,Utah
84094,Utah
5440,Vermont
5457,Vermont
5447,Vermont
5829,Vermont
5901,Vermont
5904,Vermont
5666,Vermont
5674,Vermont
5734,Vermont
5736,Vermont
5034,Vermont
5150,Vermont
5253,Vermont
5154,Vermont
5341,Vermont
5260,Vermont
72739,Arizona
72747,Arizona
72661,Arizona
72626,Arizona
72537,Arizona
72520,Arizona
72573,Arizona
72464,Arizona
72430,Arizona
