zip,seaport,landprice,oilreserve,existingplants,disasters,railroad,populationdensity,actual
767,3,-1,3,2,3,-1,2,N
820,3,-1,3,2,3,-1,2,N
7036,3,-1,3,2,1,2,1,N
8066,3,-1,3,3,3,2,1,N
8861,3,-1,3,2,1,2,1,N
16344,3,-1,3,2,1,2,2,N
16365,2,-1,3,3,1,2,2,N
16701,2,-1,3,2,1,2,2,N
19061,3,-1,3,3,3,2,1,N
19145,3,-1,3,3,3,2,1,N
19706,3,-1,3,3,3,2,1,N
26050,3,-1,3,2,1,2,2,N
35401,3,-1,2,2,3,2,2,N
36571,3,-1,2,2,3,2,2,N
38109,3,-1,2,2,3,2,2,N
39183,3,-1,2,2,1,2,2,N
39455,3,-1,2,2,1,2,2,N
39477,2,-1,2,2,3,2,2,N
39581,3,-1,2,2,3,2,2,N
41129,3,-1,2,2,1,2,2,N
42501,3,-1,2,2,3,2,2,N
43616,3,-1,2,3,1,2,2,N
44706,3,-1,3,2,1,2,2,N
45804,1,-1,2,2,1,2,2,N
46394,3,-1,2,3,3,3,1,N
47620,3,-1,2,2,3,2,2,N
48217,3,-1,2,3,1,2,1,N
48802,3,-1,2,2,3,2,2,N
50401,1,-1,3,2,3,2,2,N
54880,3,-1,3,2,3,2,2,N
55068,3,-1,3,2,3,2,1,N
55071,3,-1,3,2,3,2,1,N
58554,1,-1,2,2,3,2,3,N
58601,1,-1,2,2,3,2,3,N
59044,1,-1,2,3,3,2,2,N
59101,1,-1,2,3,3,2,2,N
59404,1,-1,2,2,3,2,2,N
60406,3,-1,3,3,3,3,1,N
60410,3,-1,3,3,3,3,1,N
60439,3,-1,3,3,3,3,1,N
62048,3,-1,3,2,3,2,2,N
62084,3,-1,3,2,3,2,2,N
62454,1,-1,3,2,3,2,2,N
67042,1,-1,2,2,3,2,2,N
67337,3,-1,2,2,3,2,2,N
67460,1,-1,2,2,3,2,2,N
70037,3,-1,2,3,1,2,1,N
70044,3,-1,2,3,1,2,1,N
70051,3,-1,2,3,1,2,2,N
70075,3,-1,2,3,1,2,1,N
70079,3,-1,2,3,1,2,2,N
70087,3,-1,2,3,1,2,2,N
70602,3,-1,3,3,1,3,2,N
70605,3,-1,3,3,1,3,2,N
70615,3,-1,3,3,1,3,2,N
70669,3,-1,3,3,1,3,2,N
70723,3,-1,2,3,1,2,2,N
70750,3,-1,2,3,1,2,2,N
70767,3,-1,2,3,1,2,2,N
70805,3,-1,2,3,1,2,2,N
71018,3,-1,3,3,1,2,2,N
71109,3,-1,3,2,1,3,2,N
71730,3,-1,2,3,1,2,2,N
71762,3,-1,2,3,1,2,3,N
71764,3,-1,2,3,1,2,2,N
73098,1,-1,2,2,3,2,2,N
73401,1,-1,3,2,1,3,3,N
74107,3,-1,2,2,3,2,2,N
74602,1,-1,2,2,3,2,2,N
75702,1,-1,3,2,1,3,2,N
76040,1,-1,3,2,1,3,1,N
76475,1,-1,3,2,1,3,2,N
76932,1,-1,3,2,1,3,3,N
77012,3,-1,3,3,1,3,1,N
77015,3,-1,3,3,1,3,1,N
77017,3,-1,3,3,1,3,1,N
77463,3,-1,3,3,1,3,1,N
77506,3,-1,3,3,1,3,1,N
77520,3,-1,3,3,1,3,1,N
77536,3,-1,3,3,1,3,1,N
77547,3,-1,3,3,1,3,1,N
77590,3,-1,3,3,1,3,1,N
77640,3,-1,3,3,1,3,2,N
77641,3,-1,3,3,1,3,2,N
77642,3,-1,3,3,1,3,2,N
77659,3,-1,3,3,1,3,2,N
77701,3,-1,3,3,1,3,2,N
78071,1,-1,3,2,1,3,3,N
78112,1,-1,3,2,1,3,2,N
78223,1,-1,3,2,1,3,2,N
78401,3,-1,3,3,1,3,2,N
78407,3,-1,3,3,1,3,2,N
78409,3,-1,3,3,1,3,2,N
79008,1,-1,3,3,1,3,2,N
79011,1,-1,3,2,1,3,3,N
79059,1,-1,3,3,1,3,3,N
79086,1,-1,3,2,1,3,3,N
79562,1,-1,3,2,1,3,2,N
79601,1,-1,3,2,1,3,2,N
79721,1,-1,3,2,1,3,2,N
79905,1,-1,3,2,1,3,1,N
80022,1,-1,2,2,3,2,1,N
82007,1,-1,2,2,3,2,2,N
82334,1,-1,2,2,3,2,3,N
82636,1,-1,2,2,3,2,2,N
82701,1,-1,2,2,1,2,3,N
82930,1,-1,2,2,1,2,3,N
84054,1,-1,2,3,1,2,1,N
84087,1,-1,2,3,1,2,1,N
84103,1,-1,2,3,1,2,1,N
84116,1,-1,2,3,1,2,1,N
87347,1,-1,2,2,3,2,3,N
87413,1,-1,2,2,3,2,2,N
88211,1,-1,2,2,3,2,3,N
88260,1,-1,3,2,1,2,3,N
90245,3,-1,2,3,1,3,1,N
90280,3,-1,2,3,1,3,1,N
90509,3,-1,2,3,1,3,1,N
90723,3,-1,2,3,1,3,1,N
90744,3,-1,2,3,1,3,1,N
90745,3,-1,2,3,1,3,1,N
90749,3,-1,2,3,1,3,1,N
93307,1,-1,2,3,1,3,2,N
93308,1,-1,2,3,1,3,2,N
93420,3,-1,2,2,1,3,2,N
94510,3,-1,2,3,1,3,1,N
94553,3,-1,2,3,1,3,1,N
94572,3,-1,2,3,1,3,1,N
94801,3,-1,2,3,1,3,1,N
96707,3,-1,3,2,3,2,1,N
98221,3,-1,3,3,3,2,2,N
98230,3,-1,3,3,3,2,2,N
98248,3,-1,3,3,3,2,2,N
98421,3,-1,3,2,3,2,1,N
99611,3,-1,2,2,1,2,3,N
99686,3,-1,2,2,1,2,3,N
99705,3,-1,2,2,1,2,2,N
